id,source_file_id,airport_icao,obstacle_id,name,bearing_deg,mag_bearing_deg,distance_m,latitude,longitude,elevation_m,height_m,unit_distance_original,unit_height_original,confidence_score,is_user_modified,edited_at,source_page,raw_text
27,1,ZLLL,027,高压杆,,32.0,5342.0,36.555527777777776,103.64980555555556,2006.3,,m,m,0.95,0,,3,"高压杆
027 | 高压输电
线 | N363319.9
E1033859.3
032/5342 | 2006.3 |  | RWY01离场控制障碍物"
28,1,ZLLL,028,T3航站楼,,34.0,1794.0,36.52736111111111,103.63105555555555,1976.4,,m,m,0.95,0,,3,"T3航站楼
028 | 建筑 | N363138.5
E1033751.8
034/1794 | 1976.4 |  | "
29,1,ZLLL,029,监控天线,,34.0,4146.0,36.54552777777778,103.64455555555556,1957.3,,m,m,0.95,0,,3,"监控天线
029 | 天线 | N363243.9
E1033840.4
034/4146 | 1957.3 |  | RWY01起飞航径区重要障碍物"
30,1,ZLLL,030,机房,,35.0,3774.0,36.54227777777778,103.64319444444445,1952.8,,m,m,0.95,0,,3,"机房
030 | 建筑 | N363232.2
E1033835.5
035/3774 | 1952.8 |  | RWY01起飞航径区重要障碍物"
31,1,ZLLL,031,内指点标（IM19）,,36.0,3837.0,36.54252777777778,103.64402777777778,1953.0,,m,m,0.95,0,,3,"内指点标（IM19）
031 | 天线 | N363233.1
E1033838.5
036/3837 | 1953.0 |  | RWY01起飞航径区重要障碍物"
32,1,ZLLL,032,东侧边坡坡顶,,46.0,3388.0,36.535805555555555,103.64661111111111,1954.1,,m,m,0.95,0,,3,"东侧边坡坡顶
032 | 自然高程
点 | N363208.9
E1033847.8
046/3388 | 1954.1 |  | RWY19 ILS/DME控制障碍物"
33,1,ZLLL,033,新塔台,,69.0,1036.0,36.51727777777778,103.63141666666667,2049.9,,m,m,0.95,0,,4,"新塔台
033 | 塔台 | N363102.2
E1033753.1
069/1036 | 2049.9 | 灯光：红色 |  | RWY18L ILS/DME最后进近控制
障碍物；
RWY36R/01/18R LNAV/VNAV控
制障碍物"
34,1,ZLLL,034,中建八局观光台,,89.0,1544.0,36.51430555555555,103.63808333333334,1972.1,,m,m,0.95,0,,4,"中建八局观光台
034 | 建筑 | N363051.5
E1033817.1
089/1544 | 1972.1 |  |  | "
35,1,ZLLL,035,民房,,99.0,2468.0,36.51130555555556,103.64827777777778,1939.3,,m,m,0.95,0,,4,"民房
035 | 建筑 | N363040.7
E1033853.8
099/2468 | 1939.3 |  | RWY01 ILS/DME控制障碍物 | "
36,1,ZLLL,036,瑞辰玖阙,,148.0,4953.0,36.47686111111111,103.65252777777778,1977.8,,m,m,0.95,0,,4,"瑞辰玖阙
036 | 建筑 | N362836.7
E1033909.1
148/4953 | 1977.8 |  | RWY19离场控制障碍物、起飞航
径区重要障碍物 | "
37,1,ZLLL,037,空薛牵线05号高 压塔,,157.0,7508.0,36.45286111111111,103.6581388888889,1981.7,,m,m,0.95,0,,4,"空薛牵线05号高
压塔
037 | 高压输电
线 | N362710.3
E1033929.3
157/7508 | 1981.7 |  | RWY01 LNAV最后进近控制障碍
物 | "
38,1,ZLLL,038,平岘沟高压塔,,161.0,8940.0,36.43858333333333,103.6576388888889,1992.2,,m,m,0.95,0,,4,"平岘沟高压塔
038 | 高压输电
线 | N362618.9
E1033927.5
161/8940 | 1992.2 |  | RWY01 GP INOP最后进近控制障
碍物 | "
39,1,ZLLL,039,高压塔,,166.0,10250.0,36.42519444444444,103.65452777777779,2068.5,,m,m,0.95,0,,4,"高压塔
039 | 高压输电
线 | N362530.7
E1033916.3
166/10250 | 2068.5 |  | RWY19起飞航径区重要障碍物 | "
40,1,ZLLL,040,三角架,,166.0,10867.0,36.419999999999995,103.65702777777778,2084.4,,m,m,0.95,0,,4,"三角架
040 | 高压输电
线 | N362512.0
E1033925.3
166/10867 | 2084.4 |  | RWY18L离场控制障碍物；
RWY19起飞航径区重要障碍物 | "
41,1,ZLLL,041,瑞岭悦府施工塔 吊,,171.0,5201.0,36.46752777777778,103.63244444444443,1984.0,,m,m,0.95,0,,4,"瑞岭悦府施工塔
吊
041 | 塔吊 | N362803.1
E1033756.8
171/5201 | 1984 |  | RWY18L起飞航径区重要障碍物 | "
42,1,ZLLL,042,楼房,,177.0,3845.0,36.478972222222225,103.62508333333332,1961.4,,m,m,0.95,0,,4,"楼房
042 | 建筑 | N362844.3
E1033730.3
177/3845 | 1961.4 |  | RWY18L起飞航径区重要障碍物 | "
43,1,ZLLL,043,亚太房屋,,179.0,4020.0,36.47730555555556,103.62374999999999,1964.4,,m,m,0.95,0,,4,"亚太房屋
043 | 建筑 | N362838.3
E1033725.5
179/4020 | 1964.4 | 灯光：红色 | RWY18L起飞航径区重要障碍物 | "
44,1,ZLLL,044,甘肃华谱检测有 限公司,,184.0,3841.0,36.478833333333334,103.61999999999999,1963.4,,m,m,0.95,0,,5,"甘肃华谱检测有
限公司
044 | 建筑 | N362843.8
E1033712.0
184/3841 | 1963.4 |  | RWY18R起飞航径区重要障碍物、
离场控制障碍物"
45,1,ZLLL,045,马家山通讯塔,,199.0,3451.0,36.483555555555554,103.61022222222222,2010.3,,m,m,0.95,0,,5,"马家山通讯塔
045 | 天线 | N362900.8
E1033636.8
199/3451 | 2010.3 |  | RWY36L GP INOP、LNAV控制障
碍物"
46,1,ZLLL,046,T2航站楼,,212.0,1096.0,36.50483333333333,103.61488888888888,1986.6,,m,m,0.95,0,,5,"T2航站楼
046 | 建筑 | N363017.4
E1033653.6
212/1096 | 1986.6 |  | "
47,1,ZLLL,047,山,,214.0,13842.0,36.406527777777775,103.54138888888889,2033.7,,m,m,0.95,0,,5,"山
047 | 山 | N362423.5
E1033229.0
214/13842 | 2033.7 |  | RWY18L/R PBN离场控制障碍物
含植被"
48,1,ZLLL,048,机场塔台,,237.0,660.0,36.50994444444444,103.61491666666666,2000.0,,m,m,0.95,0,,5,"机场塔台
048 | 塔台 | N363035.8
E1033653.7
237/660 | 2000.0 | 灯光：红色 | RWY18R/36L ILS/DME控制障碍
物"
49,1,ZLLL,049,二次雷达,,243.0,2275.0,36.503055555555555,103.59899999999999,2068.4,,m,m,0.95,0,,5,"二次雷达
049 | 天线 | N363011.0
E1033556.4
243/2275 | 2068.4 | 灯光：红色 | RWY36L LNAV/VNAV、
VOR/DME控制障碍物"
50,1,ZLLL,050,无名山,,271.0,3451.0,36.51263888888889,103.58180555555555,2120.0,,m,m,0.95,0,,5,"无名山
050 | 山 | N363045.5
E1033454.5
271/3451 | 2120 |  | A类目视盘旋控制障碍物
含植被"
51,1,ZLLL,051,无名山,,302.0,6331.0,36.54061111111111,103.56038888888888,2157.0,,m,m,0.95,0,,5,"无名山
051 | 山 | N363226.2
E1033337.4
302/6331 | 2157 |  | B类目视盘旋控制障碍物
含植被"
52,1,ZLLL,052,无名山,,317.0,8530.0,36.56677777777778,103.55230555555555,2168.0,,m,m,0.95,0,,5,"无名山
052 | 山 | N363400.4
E1033308.3
317/8530 | 2168 |  | C、D类目视盘旋控制障碍物
含植被"
53,1,ZLLL,053,气象雷达天线,,332.0,1258.0,36.52313888888889,103.61358333333332,1986.7,,m,m,0.95,0,,5,"气象雷达天线
053 | 天线 | N363123.3
E1033648.9
332/1258 | 1986.7 | 灯光：红色 | "
54,1,ZLLL,054,高压杆,,356.0,4699.0,36.55547222222222,103.61444444444444,1999.0,,m,m,0.95,0,,5,"高压杆
054 | 杆 | N363319.7
E1033652.0
356/4699 | 1999 |  | RWY36L起飞航径区重要障碍物"
55,1,ZLLL,055,通讯塔,,356.0,7431.0,,,2043.2,,m,m,1.0,0,,6,"通讯塔
055 | 天线 | E | N363447.9
1033641.
356/7431 | 3 | 2043.2 |  | RWY36L起飞航径区重要障碍物 | "
56,1,ZLLL,056,北近台台外天线,,357.0,2926.0,,,1968.5,,m,m,1.0,0,,6,"北近台台外天线
056 | 天线 | E | N363222.9
1033704.
357/2926 | 0 | 1968.5 |  | RWY36L起飞航径区重要障碍物 | "
57,1,ZLLL,057,通讯塔,,357.0,8624.0,36.590722222222226,103.61075,2050.3,,m,m,0.95,0,,6,"通讯塔
057 | 天线 | N363526.6
E1033638.7
357/8624 |  |  | 2050.3 |  |  | RWY18R VOR/DME、LNAV控制
障碍物；
RWY18L/R GP INOP控制障碍物"
58,1,ZLLL,058,北端外航向台 LOC36L,,360.0,2291.0,,,1951.4,,m,m,1.0,0,,6,"北端外航向台
LOC36L
058 | 天线 | E | N363202.6
1033710.
360/2291 | 5 | 1951.4 |  | RWY36L起飞航径区重要障碍物 | "
59,1,ZLLL,059,移动塔,,1.0,27640.0,36.76222222222222,103.61083333333333,2312.0,,m,m,0.95,0,,6,"移动塔
059 | 天线 | N364544
E1033639
001/27640 |  |  | 2312 |  |  | RWY19 PBN中间进近，GP INOP
x、GP INOP w 最后进近控制障碍
物"
60,1,ZLLL,061,通讯塔,,5.0,15692.0,36.65472222222222,103.6275,2139.0,,m,m,0.95,0,,6,"通讯塔
061 | 天线 |  | N363917
E1033739
005/15692 |  | 2139 |  | RWY18R GP INOP最后进近控制
障碍物 | "
61,1,ZLLL,062,山,,6.0,43996.0,36.909444444444446,103.64472222222223,2637.0,,m,m,0.95,0,,6,"山
062 | 山 |  | N365434
E1033841
006/43996 |  | 2637 |  | RWY01 PBN离场控制障碍物
含植被 | "
62,1,ZLLL,063,广电塔,,8.0,15820.0,36.65555555555555,103.63666666666667,2173.0,,m,m,0.95,0,,7,"广电塔
063 | 天线 | N363920
E1033812
008/15820 |  |  | 2173 |  |  | RWY18L GP INOP最后进近控制
障碍物；
RWY19 LNAV、GP INOP控制障
碍物"
63,1,ZLLL,064,石墩山,,12.0,46169.0,36.924166666666665,103.70166666666667,2585.0,,m,m,0.95,0,,7,"石墩山
064 | 山 | N365527
E1034206
012/46169 |  |  | 2585 |  |  | RWY01 PBN离场控制障碍物；
RWY19 PBN起始进近控制障碍
物
含植被"
64,1,ZLLL,065,老虎山,,14.0,64535.0,37.08416666666667,103.75888888888889,3321.0,,m,m,0.95,0,,7,"老虎山
065 | 山 | N370503
E1034532
014/64535 |  |  | 3321 |  | 监视引导11号扇区控制障碍物 | "
65,1,ZLLL,066,高压塔,,17.0,39848.0,36.86138888888889,103.73055555555555,2545.0,,m,m,0.95,0,,7,"高压塔
066 | 高压输电
线 | N365141
E1034350
017/39848 |  |  | 2545 |  | RWY18L/18R/19 ILS/DME w起始
进近控制障碍物 | "
66,1,ZLLL,068,房屋,,21.0,17140.0,36.660555555555554,103.67916666666667,2186.0,,m,m,0.95,0,,7,"房屋
068 | 建筑 |  | N363938
E1034045
021/17140 |  | 2186 |  | RWY01 PBN离场控制障碍物 | "
67,1,ZLLL,069,陶家沟,,21.0,33570.0,36.801944444444445,103.73388888888888,2443.0,,m,m,0.95,0,,7,"陶家沟
069 | 山 | N364807
E1034402
021/33570 |  |  | 2443 |  | RWY18L/18R/19 PBN起始进近控
制障碍物；
RWY01离场控制障碍物
含植被 | "
68,1,ZLLL,071,高压塔,,22.0,41000.0,36.863055555555555,103.77111111111111,2533.0,,m,m,0.95,0,,7,"高压塔
071 | 高压输电
线 |  | N365147
E1034616
022/41000 |  | 2533 |  | LL704等待控制障碍物 | "
69,1,ZLLL,074,山,,25.0,31918.0,36.779444444444444,103.75611111111111,2333.0,,m,m,0.95,0,,8,"山
074 | 山 |  | N364646
E1034522
025/31918 |  | 2333 |  | RWY01传统离场控制障碍物
含植被 | "
70,1,ZLLL,076,无名山,,28.0,23770.0,36.7075,103.73305555555555,2215.0,,m,m,0.95,0,,8,"无名山
076 | 山 | N364227
E1034359
028/23770 |  |  | 2215 |  | 监视引导01号扇区控制障碍物 | "
71,1,ZLLL,077,山,,28.0,42166.0,36.85638888888889,103.8236111111111,2340.0,,m,m,0.95,0,,8,"山
077 | 山 |  | N365123
E1034925
028/42166 |  | 2340 |  | RWY01 PBN离场控制障碍物
含植被 | "
72,1,ZLLL,078,山体,,1.0,36.0,,,,,m,,0.9,0,,8,"山体
078 | 山 |  | N363955 |  | 2280 |  |  | RWY01/36L/36R传统进场控制障"
73,1,ZLLL,079,无名山,,59.0,99224.0,37.00333333333333,104.55055555555555,3017.0,,m,m,0.95,0,,8,"无名山
079 | 山 | N370012
E1043302
059/99224 |  |  | 3017 |  | 监视引导10号扇区控制障碍物 | "
74,1,ZLLL,080,无名山,,91.0,135049.0,36.54555555555555,105.12833333333333,2850.0,,m,m,0.95,0,,8,"无名山
080 | 山 | N363244
E1050742
091/135049 |  |  | 2850 |  | 监视引导09号扇区控制障碍物 | "
75,1,ZLLL,081,高岭沟,,120.0,46734.0,36.32472222222223,104.08527777777778,2365.0,,m,m,0.95,0,,8,"高岭沟
081 | 山 |  | N361929
E1040507
120/46734 |  | 2365 |  | RWY01/36L/36R PBN进场控制障
碍物
含植被 | "
76,1,ZLLL,082,山体,,1.0,36.0,,,,,m,,0.9,0,,8,"山体
082 | 山 |  | N361906 |  | 2096 |  |  | RWY01/36L/36R传统进场控制障"
77,1,ZLLL,083,山体,,1.0,36.0,,,,,m,,0.9,0,,8,"山体
083 | 山 |  | N361628 |  | 2076 |  |  | RWY01/36L/36R传统进场控制障"
78,1,ZLLL,084,山,,156.0,28972.0,36.28138888888889,103.76888888888888,2119.0,,m,m,0.95,0,,9,"山
084 | 山 |  | N361653
E1034608
156/28972 |  | 2119 |  | RWY18L/R传统离场控制障碍物 | "
79,1,ZLLL,085,山,,157.0,18497.0,36.363055555555555,103.71000000000001,2184.0,,m,m,0.95,0,,9,"山
085 | 山 |  | N362147
E1034236
157/18497 |  | 2184 |  | RWY19 PBN离场控制障碍物
含植被 | "
80,1,ZLLL,086,山,,157.0,24893.0,36.31194444444444,103.7425,2182.0,,m,m,0.95,0,,9,"山
086 | 山 |  | N361843
E1034433
157/24893 |  | 2182 |  | RWY19传统离场控制障碍物 | "
81,1,ZLLL,087,山,,160.0,17522.0,36.36833333333333,103.69777777777779,2166.0,,m,m,0.95,0,,9,"山
087 | 山 |  | N362206
E1034152
160/17522 |  | 2166 |  | RWY19 PBN离场控制障碍物
含植被 | "
82,1,ZLLL,089,窝岭沟,,162.0,92283.0,35.73638888888889,103.98611111111111,3671.0,,m,m,0.95,0,,9,"窝岭沟
089 | 山 | N354411
E1035910
162/92283 |  |  | 3671 |  | 监视引导08号扇区控制障碍物 | "
